timestamp,rain_accum,rain_incr,stage,tweets_incr,tweets_incr_baseline,tweets_accum,tweets_accum_baseline,ActionStage,BankfullStage,MinorFlooding,ModerateFlooding,MajorFlooding,,
2013-09-10 01:00,0.84,0,1.67,65,26,65,26,3.8,5.5,5.5,6,8,,
2013-09-10 02:00,0.92,0.079,1.76,37,10,102,36,3.8,5.5,5.5,6,8,,
2013-09-10 03:00,0.96,0.039,1.9,20,12,122,48,3.8,5.5,5.5,6,8,,
2013-09-10 04:00,0.96,0,1.88,22,26,144,74,3.8,5.5,5.5,6,8,,
2013-09-10 05:00,0.96,0,1.88,30,8,174,82,3.8,5.5,5.5,6,8,,
2013-09-10 06:00,1,0.039,1.89,49,14,223,96,3.8,5.5,5.5,6,8,,
2013-09-10 07:00,1,0,1.92,135,25,358,121,3.8,5.5,5.5,6,8,,
2013-09-10 08:00,1,0,1.92,283,36,641,157,3.8,5.5,5.5,6,8,,
2013-09-10 09:00,1,0,1.85,312,62,953,219,3.8,5.5,5.5,6,8,,
2013-09-10 10:00,1.12,0.119,1.88,366,67,1319,286,3.8,5.5,5.5,6,8,,
2013-09-10 11:00,1.2,0.079,1.97,387,73,1706,359,3.8,5.5,5.5,6,8,,
2013-09-10 12:00,1.2,0,1.83,232,62,1938,421,3.8,5.5,5.5,6,8,,
2013-09-10 13:00,1.24,0.039,1.83,191,70,2129,491,3.8,5.5,5.5,6,8,,
2013-09-10 14:00,1.24,0,1.82,140,83,2269,574,3.8,5.5,5.5,6,8,,
2013-09-10 15:00,1.24,0,1.78,148,67,2417,641,3.8,5.5,5.5,6,8,,
2013-09-10 16:00,1.24,0,1.78,176,60,2593,701,3.8,5.5,5.5,6,8,,
2013-09-10 17:00,1.24,0,1.76,404,115,2997,816,3.8,5.5,5.5,6,8,,
2013-09-10 18:00,1.24,0,1.75,456,82,3453,898,3.8,5.5,5.5,6,8,,
2013-09-10 19:00,1.24,0,1.8,266,58,3719,956,3.8,5.5,5.5,6,8,,
2013-09-10 20:00,1.24,0,1.8,213,41,3932,997,3.8,5.5,5.5,6,8,,
2013-09-10 21:00,1.28,0.039,1.84,235,41,4167,1038,3.8,5.5,5.5,6,8,,
2013-09-10 22:00,1.28,0,1.84,186,38,4353,1076,3.8,5.5,5.5,6,8,,
2013-09-10 23:00,1.28,0,1.8,112,41,4465,1117,3.8,5.5,5.5,6,8,,
2013-09-11 00:00,1.28,0,1.85,91,30,4556,1147,3.8,5.5,5.5,6,8,,
2013-09-11 01:00,1.56,0.279,2.14,69,22,4625,1169,3.8,5.5,5.5,6,8,,
2013-09-11 02:00,1.64,0.079,1.99,25,9,4650,1178,3.8,5.5,5.5,6,8,,
2013-09-11 03:00,2.08,0.439,2.4,25,12,4675,1190,3.8,5.5,5.5,6,8,,
2013-09-11 04:00,2.24,0.159,2.35,21,12,4696,1202,3.8,5.5,5.5,6,8,,
2013-09-11 05:00,2.28,0.039,2.22,20,6,4716,1208,3.8,5.5,5.5,6,8,,
2013-09-11 06:00,2.4,0.119,2.35,47,14,4763,1222,3.8,5.5,5.5,6,8,,
2013-09-11 07:00,2.52,0.119,2.41,116,20,4879,1242,3.8,5.5,5.5,6,8,,
2013-09-11 08:00,2.64,0.119,2.41,296,23,5175,1265,3.8,5.5,5.5,6,8,,
2013-09-11 09:00,2.64,0,2.27,445,42,5620,1307,3.8,5.5,5.5,6,8,,
2013-09-11 10:00,2.72,0.079,2.26,424,53,6044,1360,3.8,5.5,5.5,6,8,,
2013-09-11 11:00,2.84,0.119,2.21,448,56,6492,1416,3.8,5.5,5.5,6,8,,
2013-09-11 12:00,3,0.159,2.26,329,59,6821,1475,3.8,5.5,5.5,6,8,,
2013-09-11 13:00,3.04,0.039,2.26,231,63,7052,1538,3.8,5.5,5.5,6,8,,
2013-09-11 14:00,3.08,0.039,2.21,201,48,7253,1586,3.8,5.5,5.5,6,8,,
2013-09-11 15:00,3.16,0.079,2.34,204,57,7457,1643,3.8,5.5,5.5,6,8,,
2013-09-11 16:00,3.16,0,2.4,341,40,7798,1683,3.8,5.5,5.5,6,8,,
2013-09-11 17:00,3.32,0.159,2.48,351,51,8149,1734,3.8,5.5,5.5,6,8,,
2013-09-11 18:00,3.48,0.159,2.53,351,54,8500,1788,3.8,5.5,5.5,6,8,,
2013-09-11 19:00,3.6,0.119,2.63,365,56,8865,1844,3.8,5.5,5.5,6,8,,
2013-09-11 20:00,4.36,0.759,3.15,478,53,9343,1897,3.8,5.5,5.5,6,8,,
2013-09-11 21:00,4.76,0.399,3.29,647,39,9990,1936,3.8,5.5,5.5,6,8,,
2013-09-11 22:00,5.2,0.439,3.62,914,51,10904,1987,3.8,5.5,5.5,6,8,,
2013-09-11 23:00,6.26,1.059,4.56,1450,52,12354,2039,3.8,5.5,5.5,6,8,,
2013-09-12 00:00,6.82,0.559,5.11,1390,49,13744,2088,3.8,5.5,5.5,6,8,,
2013-09-12 01:00,6.94,0.119,6.36,1983,16,15727,2104,3.8,5.5,5.5,6,8,,
2013-09-12 02:00,7.18,0.239,6.66,2620,17,18347,2121,3.8,5.5,5.5,6,8,,
2013-09-12 03:00,7.5,0.32,6.15,1798,10,20145,2131,3.8,5.5,5.5,6,8,,
2013-09-12 04:00,7.62,0.119,5.58,1438,10,21583,2141,3.8,5.5,5.5,6,8,,
2013-09-12 05:00,7.74,0.119,5.49,1118,6,22701,2147,3.8,5.5,5.5,6,8,,
2013-09-12 06:00,7.74,0,5.32,1411,28,24112,2175,3.8,5.5,5.5,6,8,,
2013-09-12 07:00,7.74,0,5.24,2598,31,26710,2206,3.8,5.5,5.5,6,8,,
2013-09-12 08:00,7.78,0.039,5.2,3211,41,29921,2247,3.8,5.5,5.5,6,8,,
2013-09-12 09:00,8.14,0.359,5.2,3526,36,33447,2283,3.8,5.5,5.5,6,8,,
2013-09-12 10:00,8.26,0.119,5.47,4995,50,38442,2333,3.8,5.5,5.5,6,8,,
2013-09-12 11:00,8.54,0.279,5.63,4445,63,42887,2396,3.8,5.5,5.5,6,8,,
2013-09-12 12:00,8.66,0.119,5.71,5068,59,47955,2455,3.8,5.5,5.5,6,8,,
2013-09-12 13:00,8.98,0.319,5.67,4708,56,52663,2511,3.8,5.5,5.5,6,8,,
2013-09-12 14:00,9.02,0.039,5.62,3883,47,56546,2558,3.8,5.5,5.5,6,8,,
2013-09-12 15:00,9.1,0.079,5.49,3717,42,60263,2600,3.8,5.5,5.5,6,8,,
2013-09-12 16:00,9.42,0.32,5.49,3637,50,63900,2650,3.8,5.5,5.5,6,8,,
2013-09-12 17:00,9.66,0.239,5.7,4030,62,67930,2712,3.8,5.5,5.5,6,8,,
2013-09-12 18:00,10.34,0.679,5.92,3987,80,71917,2792,3.8,5.5,5.5,6,8,,
2013-09-12 19:00,10.58,0.239,6.67,3541,90,75458,2882,3.8,5.5,5.5,6,8,,
2013-09-12 20:00,10.98,0.399,6.64,4234,70,79692,2952,3.8,5.5,5.5,6,8,,
2013-09-12 21:00,11.65,0.67,7.2,3983,85,83675,3037,3.8,5.5,5.5,6,8,,
2013-09-12 22:00,11.89,0.239,8.16,4390,96,88065,3133,3.8,5.5,5.5,6,8,,
2013-09-12 23:00,11.89,0,8.18,5406,32,93471,3165,3.8,5.5,5.5,6,8,,
2013-09-13 00:00,11.93,0.039,8.01,4962,30,98433,3195,3.8,5.5,5.5,6,8,,
2013-09-13 01:00,11.93,0,7.43,4243,17,102676,3212,3.8,5.5,5.5,6,8,,
2013-09-13 02:00,12.05,0.119,7,1919,8,104595,3220,3.8,5.5,5.5,6,8,,
2013-09-13 03:00,12.17,0.119,7.15,812,5,105407,3225,3.8,5.5,5.5,6,8,,
2013-09-13 04:00,12.17,0,7.14,385,21,105792,3246,3.8,5.5,5.5,6,8,,
2013-09-13 05:00,12.17,0,7.06,602,8,106394,3254,3.8,5.5,5.5,6,8,,
2013-09-13 06:00,12.17,0,7.01,966,28,107360,3282,3.8,5.5,5.5,6,8,,
2013-09-13 07:00,12.17,0,6.96,1825,43,109185,3325,3.8,5.5,5.5,6,8,,
2013-09-13 08:00,12.17,0,6.78,2709,60,111894,3385,3.8,5.5,5.5,6,8,,
2013-09-13 09:00,12.17,0,6.77,4043,65,115937,3450,3.8,5.5,5.5,6,8,,
2013-09-13 10:00,12.33,0.159,6.64,3847,52,119784,3502,3.8,5.5,5.5,6,8,,
2013-09-13 11:00,12.33,0,6.56,4747,41,124531,3543,3.8,5.5,5.5,6,8,,
2013-09-13 12:00,12.33,0,6.39,3618,43,128149,3586,3.8,5.5,5.5,6,8,,
2013-09-13 13:00,12.33,0,6.14,2916,48,131065,3634,3.8,5.5,5.5,6,8,,
2013-09-13 14:00,12.33,0,5.94,2942,78,134007,3712,3.8,5.5,5.5,6,8,,
2013-09-13 15:00,12.33,0,5.75,2507,73,136514,3785,3.8,5.5,5.5,6,8,,
2013-09-13 16:00,12.33,0,5.75,2433,66,138947,3851,3.8,5.5,5.5,6,8,,
2013-09-13 17:00,12.33,0,5.7,2871,104,141818,3955,3.8,5.5,5.5,6,8,,
2013-09-13 18:00,12.33,0,5.7,2558,130,144376,4085,3.8,5.5,5.5,6,8,,
2013-09-13 19:00,12.33,0,5.7,1842,109,146218,4194,3.8,5.5,5.5,6,8,,
2013-09-13 20:00,12.33,0,5.51,1716,78,147934,4272,3.8,5.5,5.5,6,8,,
2013-09-13 21:00,12.33,0,5.51,1466,72,149400,4344,3.8,5.5,5.5,6,8,,
2013-09-13 22:00,12.33,0,5.51,1772,62,151172,4406,3.8,5.5,5.5,6,8,,
