timestamp,rain_accum,rain_incr,stage,combined_incr,combined_accum,BoulderOEM_incr,NWSBoulder_incr,BoulderOEM_accum,NWSBoulder_accum,,,,,
2013-09-10 01:00,0.84,0,1.67,0,0,0,0,0,0,,,,,
2013-09-10 02:00,0.92,0.079,1.76,0,0,0,0,0,0,,,,,
2013-09-10 03:00,0.96,0.039,1.9,0,0,0,0,0,0,,,,,
2013-09-10 04:00,0.96,0,1.88,0,0,0,0,0,0,,,,,
2013-09-10 05:00,0.96,0,1.88,0,0,0,0,0,0,,,,,
2013-09-10 06:00,1,0.039,1.89,0,0,0,0,0,0,,,,,
2013-09-10 07:00,1,0,1.92,0,0,0,0,0,0,,,,,
2013-09-10 08:00,1,0,1.92,0,0,0,0,0,0,,,,,
2013-09-10 09:00,1,0,1.85,0,0,0,0,0,0,,,,,
2013-09-10 10:00,1.12,0.119,1.88,0,0,0,0,0,0,,,,,
2013-09-10 11:00,1.2,0.079,1.97,0,0,0,0,0,0,,,,,
2013-09-10 12:00,1.2,0,1.83,0,0,0,0,0,0,,,,,
2013-09-10 13:00,1.24,0.039,1.83,0,0,0,0,0,0,,,,,
2013-09-10 14:00,1.24,0,1.82,1,1,0,1,0,1,,,,,
2013-09-10 15:00,1.24,0,1.78,1,1,0,0,0,1,,,,,
2013-09-10 16:00,1.24,0,1.78,2,2,0,1,0,2,,,,,
2013-09-10 17:00,1.24,0,1.76,2,2,0,0,0,2,,,,,
2013-09-10 18:00,1.24,0,1.75,4,4,0,2,0,4,,,,,
2013-09-10 19:00,1.24,0,1.8,11,11,0,7,0,11,,,,,
2013-09-10 20:00,1.24,0,1.8,11,11,0,0,0,11,,,,,
2013-09-10 21:00,1.28,0.039,1.84,11,11,0,0,0,11,,,,,
2013-09-10 22:00,1.28,0,1.84,11,11,0,0,0,11,,,,,
2013-09-10 23:00,1.28,0,1.8,11,11,0,0,0,11,,,,,
2013-09-11 00:00,1.28,0,1.85,11,11,0,0,0,11,,,,,
2013-09-11 01:00,1.56,0.279,2.14,11,11,0,0,0,11,,,,,
2013-09-11 02:00,1.64,0.079,1.99,11,11,0,0,0,11,,,,,
2013-09-11 03:00,2.08,0.439,2.4,11,11,0,0,0,11,,,,,
2013-09-11 04:00,2.24,0.159,2.35,11,11,0,0,0,11,,,,,
2013-09-11 05:00,2.28,0.039,2.22,11,11,0,0,0,11,,,,,
2013-09-11 06:00,2.4,0.119,2.35,11,11,0,0,0,11,,,,,
2013-09-11 07:00,2.52,0.119,2.41,11,11,0,0,0,11,,,,,
2013-09-11 08:00,2.64,0.119,2.41,11,11,0,0,0,11,,,,,
2013-09-11 09:00,2.64,0,2.27,11,11,0,0,0,11,,,,,
