"timeslice","mycount"
"2013-09-01 06:15:00",6
"2013-09-01 06:30:00",7
"2013-09-01 06:45:00",8
"2013-09-01 07:00:00",5
"2013-09-01 07:15:00",1
"2013-09-01 07:30:00",5
"2013-09-01 07:45:00",3
"2013-09-01 08:00:00",1
"2013-09-01 08:15:00",2
"2013-09-01 08:30:00",1
"2013-09-01 08:45:00",5
"2013-09-01 09:00:00",4
"2013-09-01 09:15:00",7
"2013-09-01 09:30:00",10
"2013-09-01 09:45:00",5
"2013-09-01 10:00:00",4
"2013-09-01 10:30:00",1
"2013-09-01 10:45:00",4
"2013-09-01 11:00:00",3
"2013-09-01 11:15:00",5
"2013-09-01 11:30:00",4
"2013-09-01 11:45:00",1
"2013-09-01 12:00:00",4
"2013-09-01 12:15:00",2
"2013-09-01 12:30:00",6
"2013-09-01 12:45:00",10
"2013-09-01 13:00:00",7
"2013-09-01 13:15:00",8
"2013-09-01 13:30:00",11
"2013-09-01 13:45:00",9
"2013-09-01 14:00:00",8
"2013-09-01 14:15:00",16
"2013-09-01 14:30:00",15
"2013-09-01 14:45:00",16
"2013-09-01 15:00:00",15
"2013-09-01 15:15:00",20
"2013-09-01 15:30:00",18
"2013-09-01 15:45:00",14
"2013-09-01 16:00:00",15
"2013-09-01 16:15:00",16
"2013-09-01 16:30:00",15
"2013-09-01 16:45:00",22
"2013-09-01 17:00:00",20
"2013-09-01 17:15:00",21
"2013-09-01 17:30:00",15
"2013-09-01 17:45:00",14
"2013-09-01 18:00:00",12
"2013-09-01 18:15:00",17
"2013-09-01 18:30:00",16
"2013-09-01 18:45:00",18
"2013-09-01 19:00:00",19
"2013-09-01 19:15:00",14
"2013-09-01 19:30:00",29
"2013-09-01 19:45:00",26
"2013-09-01 20:00:00",14
"2013-09-01 20:15:00",21
"2013-09-01 20:30:00",15
"2013-09-01 20:45:00",17
"2013-09-01 21:00:00",14
"2013-09-01 21:15:00",15
"2013-09-01 21:30:00",25
"2013-09-01 21:45:00",13
"2013-09-01 22:00:00",7
"2013-09-01 22:15:00",21
"2013-09-01 22:30:00",30
"2013-09-01 22:45:00",28
"2013-09-01 23:00:00",36
"2013-09-01 23:15:00",23
"2013-09-01 23:30:00",24
"2013-09-01 23:45:00",20
"2013-09-02 00:00:00",15
"2013-09-02 00:15:00",15
"2013-09-02 00:30:00",17
"2013-09-02 00:45:00",18
"2013-09-02 01:00:00",8
"2013-09-02 01:15:00",10
"2013-09-02 01:30:00",10
"2013-09-02 01:45:00",9
"2013-09-02 02:00:00",12
"2013-09-02 02:15:00",12
"2013-09-02 02:30:00",9
"2013-09-02 02:45:00",12
"2013-09-02 03:00:00",8
"2013-09-02 03:15:00",6
"2013-09-02 03:30:00",9
"2013-09-02 03:45:00",15
"2013-09-02 04:00:00",8
"2013-09-02 04:15:00",7
"2013-09-02 04:30:00",9
"2013-09-02 04:45:00",9
"2013-09-02 05:00:00",16
"2013-09-02 05:15:00",10
"2013-09-02 05:30:00",8
"2013-09-02 05:45:00",7
"2013-09-02 06:00:00",5
"2013-09-02 06:15:00",5
"2013-09-02 06:30:00",8
"2013-09-02 06:45:00",7
"2013-09-02 07:00:00",2
"2013-09-02 07:15:00",6
"2013-09-02 07:30:00",2
"2013-09-02 08:00:00",1
"2013-09-02 08:15:00",4
"2013-09-02 08:45:00",4
"2013-09-02 09:00:00",4
"2013-09-02 09:15:00",2
"2013-09-02 09:30:00",4
"2013-09-02 09:45:00",3
"2013-09-02 10:00:00",3
"2013-09-02 10:15:00",1
"2013-09-02 10:30:00",1
"2013-09-02 10:45:00",2
"2013-09-02 11:00:00",2
"2013-09-02 11:15:00",4
"2013-09-02 11:30:00",6
"2013-09-02 11:45:00",2
"2013-09-02 12:00:00",2
"2013-09-02 12:15:00",6
"2013-09-02 12:30:00",6
"2013-09-02 12:45:00",6
