"timeslice","mycount"
"2013-09-12 09:30:00",16
"2013-09-12 09:45:00",12
"2013-09-12 10:15:00",1
"2013-09-12 10:30:00",3
"2013-09-12 10:45:00",2
"2013-09-12 11:00:00",9
"2013-09-12 11:15:00",8
"2013-09-12 11:30:00",3
"2013-09-12 11:45:00",5
"2013-09-12 12:00:00",1
"2013-09-12 12:15:00",1
"2013-09-12 12:30:00",1
"2013-09-12 12:45:00",1
"2013-09-12 13:15:00",5
"2013-09-12 13:30:00",18
"2013-09-12 13:45:00",7
"2013-09-12 14:00:00",2
"2013-09-12 14:15:00",8
"2013-09-12 14:30:00",7
"2013-09-12 14:45:00",3
"2013-09-12 15:00:00",19
"2013-09-12 15:15:00",23
"2013-09-12 15:30:00",10
"2013-09-12 15:45:00",14
"2013-09-12 16:00:00",6
"2013-09-12 16:15:00",24
"2013-09-12 16:30:00",16
"2013-09-12 16:45:00",35
"2013-09-12 17:00:00",36
"2013-09-12 17:15:00",19
"2013-09-12 17:30:00",24
"2013-09-12 17:45:00",38
"2013-09-12 18:00:00",29
"2013-09-12 18:15:00",26
"2013-09-12 18:30:00",18
"2013-09-12 18:45:00",29
"2013-09-12 19:00:00",19
"2013-09-12 19:15:00",54
"2013-09-12 19:30:00",16
"2013-09-12 19:45:00",16
"2013-09-12 20:00:00",13
"2013-09-12 20:15:00",53
"2013-09-12 20:30:00",55
"2013-09-12 20:45:00",35
"2013-09-12 21:00:00",21
"2013-09-12 21:15:00",35
"2013-09-12 21:30:00",33
"2013-09-12 21:45:00",42
"2013-09-12 22:00:00",25
"2013-09-12 22:15:00",49
"2013-09-12 22:30:00",33
"2013-09-12 22:45:00",57
"2013-09-12 23:00:00",22
"2013-09-12 23:15:00",41
"2013-09-12 23:30:00",31
"2013-09-12 23:45:00",29
"2013-09-13 00:00:00",36
"2013-09-13 00:15:00",42
"2013-09-13 00:30:00",29
"2013-09-13 00:45:00",35
"2013-09-13 01:00:00",38
"2013-09-13 01:15:00",21
"2013-09-13 01:30:00",20
"2013-09-13 01:45:00",24
"2013-09-13 02:00:00",19
"2013-09-13 02:15:00",13
"2013-09-13 02:30:00",20
"2013-09-13 02:45:00",10
"2013-09-13 03:00:00",12
"2013-09-13 03:15:00",16
"2013-09-13 03:30:00",19
"2013-09-13 03:45:00",13
"2013-09-13 04:00:00",23
"2013-09-13 04:15:00",7
"2013-09-13 04:30:00",18
"2013-09-13 04:45:00",16
"2013-09-13 05:00:00",13
"2013-09-13 05:15:00",8
"2013-09-13 05:30:00",13
"2013-09-13 05:45:00",12
"2013-09-13 06:00:00",20
"2013-09-13 06:15:00",18
"2013-09-13 06:30:00",3
"2013-09-13 06:45:00",4
"2013-09-13 07:00:00",6
"2013-09-13 07:15:00",6
"2013-09-13 07:30:00",9
"2013-09-13 07:45:00",2
"2013-09-13 08:00:00",3
"2013-09-13 08:15:00",1
"2013-09-13 08:30:00",1
"2013-09-13 08:45:00",1
"2013-09-13 09:45:00",1
"2013-09-13 10:00:00",2
"2013-09-13 10:30:00",1
"2013-09-13 10:45:00",1
"2013-09-13 11:00:00",1
"2013-09-13 11:15:00",2
"2013-09-13 11:30:00",2
"2013-09-13 11:45:00",7
"2013-09-13 12:00:00",5
"2013-09-13 12:15:00",4
"2013-09-13 12:30:00",4
"2013-09-13 12:45:00",29
"2013-09-13 13:00:00",32
"2013-09-13 13:15:00",16
"2013-09-13 13:30:00",21
"2013-09-13 13:45:00",17
"2013-09-13 14:00:00",20
"2013-09-13 14:15:00",19
"2013-09-13 14:30:00",22
"2013-09-13 14:45:00",35
"2013-09-13 15:00:00",38
"2013-09-13 15:15:00",26
"2013-09-13 15:30:00",27
"2013-09-13 15:45:00",56
"2013-09-13 16:00:00",71
"2013-09-13 16:15:00",52
"2013-09-13 16:30:00",53
"2013-09-13 16:45:00",50
"2013-09-13 17:00:00",58
"2013-09-13 17:15:00",31
"2013-09-13 17:30:00",43
"2013-09-13 17:45:00",42
"2013-09-13 18:00:00",24
"2013-09-13 18:15:00",26
"2013-09-13 18:30:00",33
"2013-09-13 18:45:00",43
"2013-09-13 19:00:00",41
"2013-09-13 19:15:00",29
"2013-09-13 19:30:00",19
"2013-09-13 19:45:00",30
"2013-09-13 20:00:00",12
"2013-09-13 20:15:00",20
"2013-09-13 20:30:00",14
"2013-09-13 20:45:00",15
"2013-09-13 21:00:00",22
"2013-09-13 21:15:00",35
"2013-09-13 21:30:00",27
"2013-09-13 21:45:00",28
"2013-09-13 22:00:00",25
"2013-09-13 22:15:00",16
"2013-09-13 22:30:00",6
"2013-09-13 22:45:00",14
"2013-09-13 23:00:00",13
"2013-09-13 23:15:00",13
"2013-09-13 23:30:00",25
"2013-09-13 23:45:00",18
"2013-09-14 00:00:00",13
"2013-09-14 00:15:00",14
"2013-09-14 00:30:00",8
"2013-09-14 00:45:00",15
"2013-09-14 01:00:00",12
"2013-09-14 01:15:00",6
"2013-09-14 01:30:00",9
"2013-09-14 01:45:00",6
"2013-09-14 02:00:00",15
"2013-09-14 02:15:00",4
"2013-09-14 02:30:00",10
"2013-09-14 02:45:00",14
"2013-09-14 03:00:00",13
"2013-09-14 03:15:00",16
"2013-09-14 03:30:00",21
"2013-09-14 03:45:00",12
"2013-09-14 04:00:00",8
"2013-09-14 04:15:00",16
"2013-09-14 04:30:00",5
"2013-09-14 04:45:00",11
"2013-09-14 05:00:00",9
"2013-09-14 05:15:00",6
"2013-09-14 05:30:00",7
"2013-09-14 05:45:00",2
"2013-09-14 06:00:00",8
"2013-09-14 06:15:00",8
"2013-09-14 06:30:00",2
"2013-09-14 06:45:00",3
"2013-09-14 07:00:00",3
"2013-09-14 07:30:00",4
"2013-09-14 07:45:00",1
"2013-09-14 08:00:00",1
"2013-09-14 08:30:00",1
"2013-09-14 09:00:00",1
"2013-09-14 09:15:00",2
"2013-09-14 09:30:00",2
"2013-09-14 09:45:00",3
"2013-09-14 10:00:00",3
"2013-09-14 10:15:00",1
"2013-09-14 10:30:00",1
"2013-09-14 11:00:00",1
"2013-09-14 11:15:00",1
"2013-09-14 11:30:00",3
"2013-09-14 11:45:00",1
"2013-09-14 12:00:00",2
"2013-09-14 12:15:00",3
"2013-09-14 12:30:00",4
"2013-09-14 12:45:00",2
"2013-09-14 13:00:00",4
"2013-09-14 13:15:00",4
"2013-09-14 13:30:00",6
"2013-09-14 13:45:00",5
"2013-09-14 14:00:00",5
"2013-09-14 14:15:00",4
"2013-09-14 14:30:00",8
"2013-09-14 14:45:00",2
"2013-09-14 15:00:00",4
"2013-09-14 15:15:00",8
"2013-09-14 15:30:00",10
"2013-09-14 15:45:00",7
"2013-09-14 16:00:00",22
"2013-09-14 16:15:00",9
"2013-09-14 16:30:00",15
"2013-09-14 16:45:00",13
"2013-09-14 17:00:00",21
"2013-09-14 17:15:00",5
"2013-09-14 17:30:00",18
"2013-09-14 17:45:00",9
"2013-09-14 18:00:00",7
"2013-09-14 18:15:00",14
"2013-09-14 18:30:00",7
"2013-09-14 18:45:00",12
"2013-09-14 19:00:00",16
"2013-09-14 19:15:00",8
"2013-09-14 19:30:00",4
"2013-09-14 19:45:00",11
"2013-09-14 20:00:00",2
"2013-09-14 20:15:00",8
"2013-09-14 20:30:00",4
"2013-09-14 20:45:00",9
"2013-09-14 21:00:00",14
"2013-09-14 21:15:00",2
"2013-09-14 21:30:00",16
"2013-09-14 21:45:00",15
"2013-09-14 22:00:00",18
"2013-09-14 22:15:00",7
"2013-09-14 22:30:00",14
"2013-09-14 22:45:00",10
"2013-09-14 23:00:00",14
"2013-09-14 23:15:00",14
"2013-09-14 23:30:00",11
"2013-09-14 23:45:00",6
"2013-09-15 00:00:00",1
"2013-09-15 00:15:00",7
"2013-09-15 00:30:00",20
"2013-09-15 00:45:00",11
"2013-09-15 01:00:00",7
"2013-09-15 01:15:00",12
"2013-09-15 01:30:00",8
"2013-09-15 01:45:00",7
"2013-09-15 02:00:00",4
"2013-09-15 02:15:00",24
"2013-09-15 02:30:00",7
