"timeslice","mycount"
"2013-09-12 08:45:00",1
"2013-09-12 09:00:00",1
"2013-09-12 09:15:00",1
"2013-09-12 10:15:00",1
"2013-09-12 17:15:00",2
"2013-09-12 17:30:00",10
"2013-09-12 17:45:00",4
"2013-09-12 18:00:00",1
"2013-09-12 18:15:00",3
"2013-09-12 18:30:00",3
"2013-09-12 18:45:00",1
"2013-09-12 19:45:00",1
"2013-09-12 20:00:00",2
"2013-09-12 20:15:00",6
"2013-09-12 20:30:00",4
"2013-09-12 20:45:00",3
"2013-09-12 21:00:00",3
"2013-09-12 21:30:00",7
"2013-09-12 22:30:00",2
"2013-09-12 22:45:00",1
"2013-09-12 23:00:00",2
"2013-09-12 23:15:00",1
"2013-09-12 23:45:00",1
"2013-09-13 00:15:00",4
"2013-09-13 00:30:00",3
"2013-09-13 01:00:00",1
"2013-09-13 01:15:00",1
"2013-09-13 02:00:00",1
"2013-09-13 02:15:00",2
"2013-09-13 02:30:00",1
"2013-09-13 02:45:00",1
"2013-09-13 03:30:00",2
"2013-09-13 05:00:00",1
"2013-09-13 06:45:00",1
"2013-09-13 11:15:00",1
"2013-09-13 11:30:00",13
"2013-09-13 11:45:00",3
"2013-09-13 12:00:00",1
"2013-09-13 12:30:00",9
"2013-09-13 12:45:00",4
"2013-09-13 13:00:00",4
"2013-09-13 13:15:00",1
"2013-09-13 13:30:00",1
"2013-09-13 13:45:00",1
"2013-09-13 14:15:00",2
"2013-09-13 14:30:00",3
"2013-09-13 14:45:00",3
"2013-09-13 15:00:00",7
"2013-09-13 15:30:00",4
"2013-09-13 16:30:00",3
"2013-09-13 17:00:00",2
"2013-09-13 17:15:00",2
"2013-09-13 17:30:00",1
"2013-09-13 17:45:00",3
"2013-09-13 18:15:00",3
"2013-09-13 19:45:00",1
"2013-09-13 20:00:00",3
"2013-09-13 20:15:00",10
"2013-09-13 20:30:00",1
"2013-09-13 20:45:00",2
"2013-09-13 21:00:00",1
"2013-09-13 21:15:00",1
"2013-09-13 21:45:00",1
"2013-09-13 22:00:00",2
"2013-09-13 22:45:00",1
"2013-09-13 23:00:00",1
"2013-09-13 23:15:00",4
"2013-09-13 23:30:00",3
"2013-09-14 00:15:00",2
"2013-09-14 01:15:00",1
"2013-09-14 01:30:00",4
"2013-09-14 01:45:00",1
"2013-09-14 02:00:00",1
"2013-09-14 03:00:00",2
"2013-09-14 03:30:00",1
"2013-09-14 05:45:00",1
"2013-09-14 08:45:00",1
"2013-09-14 12:30:00",1
"2013-09-14 14:45:00",1
"2013-09-14 15:15:00",1
"2013-09-14 16:30:00",1
"2013-09-14 21:00:00",1
"2013-09-14 23:00:00",2
"2013-09-14 23:45:00",1
"2013-09-15 00:00:00",1
"2013-09-15 00:30:00",2
"2013-09-15 01:15:00",1
"2013-09-15 01:45:00",2
"2013-09-15 02:00:00",1
"2013-09-15 02:30:00",4
"2013-09-15 02:45:00",1
"2013-09-15 03:00:00",3
"2013-09-15 03:15:00",4
"2013-09-15 03:30:00",1
"2013-09-15 04:15:00",1
"2013-09-15 04:30:00",1
"2013-09-15 05:15:00",1
"2013-09-15 05:30:00",1
"2013-09-15 06:15:00",1
"2013-09-15 13:15:00",1
"2013-09-15 15:00:00",2
"2013-09-15 15:30:00",1
"2013-09-15 15:45:00",3
"2013-09-15 16:45:00",4
"2013-09-15 17:00:00",3
"2013-09-15 17:30:00",2
"2013-09-15 20:15:00",1
"2013-09-16 00:45:00",1
"2013-09-16 13:30:00",1
"2013-09-16 14:00:00",1
"2013-09-16 14:15:00",1
"2013-09-16 14:45:00",1
"2013-09-16 16:00:00",1
"2013-09-16 16:15:00",1
"2013-09-16 17:00:00",2
"2013-09-16 18:00:00",1
"2013-09-16 21:15:00",10
"2013-09-16 21:30:00",2
"2013-09-16 21:45:00",1
"2013-09-16 22:45:00",1
"2013-09-17 01:30:00",3
"2013-09-17 01:45:00",1
"2013-09-17 02:00:00",1
"2013-09-17 02:30:00",1
"2013-09-17 03:00:00",5
"2013-09-17 03:15:00",8
"2013-09-17 03:30:00",7
"2013-09-17 03:45:00",9
"2013-09-17 04:00:00",1
"2013-09-17 04:45:00",1
"2013-09-17 13:00:00",1
"2013-09-17 13:15:00",1
"2013-09-17 15:30:00",1
"2013-09-17 16:45:00",1
"2013-09-17 17:30:00",1
"2013-09-17 18:00:00",1
"2013-09-17 18:15:00",4
"2013-09-17 18:30:00",2
"2013-09-17 19:00:00",1
"2013-09-17 19:30:00",1
"2013-09-17 21:30:00",1
"2013-09-17 22:00:00",1
"2013-09-18 00:15:00",1
"2013-09-18 01:15:00",1
"2013-09-18 01:30:00",1
"2013-09-18 02:00:00",1
"2013-09-18 02:30:00",2
"2013-09-18 12:15:00",1
"2013-09-18 17:45:00",1
"2013-09-18 18:45:00",2
"2013-09-18 22:30:00",1
"2013-09-19 00:30:00",1
"2013-09-19 01:15:00",5
"2013-09-19 03:45:00",2
"2013-09-19 04:30:00",1
"2013-09-19 14:45:00",2
"2013-09-19 17:30:00",2
"2013-09-19 18:15:00",1
"2013-09-19 21:45:00",1
"2013-09-19 22:15:00",1
"2013-09-19 23:00:00",1
"2013-09-20 00:45:00",1
"2013-09-20 01:00:00",1
"2013-09-20 01:15:00",1
"2013-09-20 01:30:00",2
"2013-09-20 01:45:00",1
"2013-09-20 14:15:00",1
"2013-09-20 14:30:00",2
"2013-09-20 16:45:00",1
"2013-09-20 17:15:00",1
"2013-09-20 17:30:00",1
"2013-09-20 18:45:00",1
"2013-09-20 20:45:00",1
"2013-09-20 22:00:00",1
"2013-09-20 22:15:00",5
"2013-09-21 01:00:00",1
"2013-09-21 14:30:00",1
"2013-09-22 05:30:00",2
"2013-09-22 12:15:00",1
"2013-09-22 12:30:00",1
"2013-09-22 16:00:00",1
"2013-09-22 16:30:00",1
"2013-09-22 19:00:00",1
"2013-09-22 20:00:00",1
"2013-09-23 00:45:00",1
"2013-09-24 02:15:00",2
"2013-09-24 02:45:00",1
"2013-09-24 23:30:00",1
"2013-09-24 23:45:00",1
"2013-09-25 01:30:00",1
"2013-09-25 17:15:00",1
"2013-09-25 19:00:00",1
"2013-09-25 19:15:00",2
"2013-09-25 19:30:00",1
"2013-09-25 21:00:00",1
"2013-09-25 21:15:00",1
"2013-09-25 23:30:00",1
"2013-09-26 03:00:00",1
"2013-09-26 03:30:00",1
"2013-09-26 03:45:00",4
"2013-09-26 04:00:00",2
"2013-09-29 19:15:00",1
"2013-09-30 10:45:00",1
"2013-09-30 19:15:00",2
"2013-09-30 20:15:00",1
"2013-09-30 20:30:00",1
"2013-09-30 21:30:00",1
"2013-10-01 12:15:00",1
