Date,Colorado,Date,Boulder,Date,Longmont,Date,Lyons,Date,*Flood
8/10/13 20:30,1,9/11/13 14:45,1,9/12/13 9:30,16,9/12/13 8:45,1,8/10/13 6:00,3
8/11/13 3:30,1,9/11/13 15:00,1,9/12/13 9:45,12,9/12/13 9:00,1,8/10/13 6:15,8
9/12/13 6:00,1,9/12/13 3:15,1,9/12/13 10:15,1,9/12/13 9:15,1,8/10/13 6:30,6
9/12/13 9:00,1,9/12/13 3:30,1,9/12/13 10:30,3,9/12/13 10:15,1,8/10/13 6:45,1
9/12/13 9:45,1,9/12/13 3:45,7,9/12/13 10:45,2,9/12/13 17:15,2,8/10/13 7:00,3
9/12/13 11:30,1,9/12/13 4:00,22,9/12/13 11:00,9,9/12/13 17:30,10,8/10/13 7:15,2
9/12/13 11:45,4,9/12/13 4:15,27,9/12/13 11:15,8,9/12/13 17:45,4,8/10/13 8:15,1
9/12/13 12:00,1,9/12/13 4:30,29,9/12/13 11:30,3,9/12/13 18:00,1,8/10/13 8:30,2
9/12/13 12:15,16,9/12/13 4:45,36,9/12/13 11:45,5,9/12/13 18:15,3,8/10/13 8:45,1
9/12/13 12:30,3,9/12/13 5:00,39,9/12/13 12:00,1,9/12/13 18:30,3,8/10/13 9:00,1
9/12/13 12:45,29,9/12/13 5:15,86,9/12/13 12:15,1,9/12/13 18:45,1,8/10/13 9:45,2
9/12/13 13:00,33,9/12/13 5:30,73,9/12/13 12:30,1,9/12/13 19:45,1,8/10/13 10:45,1
9/12/13 13:15,15,9/12/13 5:45,82,9/12/13 12:45,1,9/12/13 20:00,2,8/10/13 12:00,2
9/12/13 13:30,27,9/12/13 6:00,146,9/12/13 13:15,5,9/12/13 20:15,6,8/10/13 12:45,2
9/12/13 13:45,52,9/12/13 6:15,142,9/12/13 13:30,18,9/12/13 20:30,4,8/10/13 13:15,5
9/12/13 14:00,40,9/12/13 6:30,189,9/12/13 13:45,7,9/12/13 20:45,3,8/10/13 13:30,1
9/12/13 14:15,23,9/12/13 6:45,248,9/12/13 14:00,2,9/12/13 21:00,3,8/10/13 13:45,8
9/12/13 14:30,37,9/12/13 7:00,463,9/12/13 14:15,8,9/12/13 21:30,7,8/10/13 14:00,3
9/12/13 14:45,33,9/12/13 7:15,436,9/12/13 14:30,7,9/12/13 22:30,2,8/10/13 14:15,3
9/12/13 15:00,88,9/12/13 7:30,347,9/12/13 14:45,3,9/12/13 22:45,1,8/10/13 14:30,2
9/12/13 15:15,97,9/12/13 7:45,295,9/12/13 15:00,19,9/12/13 23:00,2,8/10/13 14:45,3
9/12/13 15:30,90,9/12/13 8:00,328,9/12/13 15:15,23,9/12/13 23:15,1,8/10/13 15:00,5
9/12/13 15:45,105,9/12/13 8:15,241,9/12/13 15:30,10,9/12/13 23:45,1,8/10/13 15:30,3
9/12/13 16:00,83,9/12/13 8:30,227,9/12/13 15:45,14,9/13/13 0:15,4,8/10/13 15:45,14
9/12/13 16:15,102,9/12/13 8:45,298,9/12/13 16:00,6,9/13/13 0:30,3,8/10/13 16:00,11
9/12/13 16:30,91,9/12/13 9:00,237,9/12/13 16:15,24,9/13/13 1:00,1,8/10/13 16:15,19
9/12/13 16:45,89,9/12/13 9:15,241,9/12/13 16:30,16,9/13/13 1:15,1,8/10/13 16:30,76
9/12/13 17:00,123,9/12/13 9:30,169,9/12/13 16:45,35,9/13/13 2:00,1,8/10/13 16:45,30
9/12/13 17:15,123,9/12/13 9:45,167,9/12/13 17:00,36,9/13/13 2:15,2,8/10/13 17:00,7
9/12/13 17:30,165,9/12/13 10:00,165,9/12/13 17:15,19,9/13/13 2:30,1,8/10/13 17:15,4
9/12/13 17:45,250,9/12/13 10:15,162,9/12/13 17:30,24,9/13/13 2:45,1,8/10/13 17:30,5
9/12/13 18:00,201,9/12/13 10:30,137,9/12/13 17:45,38,9/13/13 3:30,2,8/10/13 17:45,3
9/12/13 18:15,160,9/12/13 10:45,139,9/12/13 18:00,29,9/13/13 5:00,1,8/10/13 18:00,9
9/12/13 18:30,150,9/12/13 11:00,165,9/12/13 18:15,26,9/13/13 6:45,1,8/10/13 18:15,7
9/12/13 18:45,163,9/12/13 11:15,145,9/12/13 18:30,18,9/13/13 11:15,1,8/10/13 18:30,18
9/12/13 19:00,193,9/12/13 11:30,157,9/12/13 18:45,29,9/13/13 11:30,13,8/10/13 18:45,7
9/12/13 19:15,171,9/12/13 11:45,137,9/12/13 19:00,19,9/13/13 11:45,3,8/10/13 19:00,12
9/12/13 19:30,187,9/12/13 12:00,243,9/12/13 19:15,54,9/13/13 12:00,1,8/10/13 19:15,5
9/12/13 19:45,194,9/12/13 12:15,290,9/12/13 19:30,16,9/13/13 12:30,9,8/10/13 19:30,10
9/12/13 20:00,207,9/12/13 12:30,237,9/12/13 19:45,16,9/13/13 12:45,4,8/10/13 19:45,2
9/12/13 20:15,182,9/12/13 12:45,252,9/12/13 20:00,13,9/13/13 13:00,4,8/10/13 20:00,15
9/12/13 20:30,185,9/12/13 13:00,290,9/12/13 20:15,53,9/13/13 13:15,1,8/10/13 20:15,5
9/12/13 20:45,184,9/12/13 13:15,282,9/12/13 20:30,55,9/13/13 13:30,1,8/10/13 20:30,11
9/12/13 21:00,193,9/12/13 13:30,316,9/12/13 20:45,35,9/13/13 13:45,1,8/10/13 20:45,3
9/12/13 21:15,177,9/12/13 13:45,322,9/12/13 21:00,21,9/13/13 14:15,2,8/10/13 21:00,2
9/12/13 21:30,280,9/12/13 14:00,273,9/12/13 21:15,35,9/13/13 14:30,3,8/10/13 21:15,2
9/12/13 21:45,213,9/12/13 14:15,297,9/12/13 21:30,33,9/13/13 14:45,3,8/10/13 21:45,4
9/12/13 22:00,279,9/12/13 14:30,312,9/12/13 21:45,42,9/13/13 15:00,7,8/10/13 22:00,1
9/12/13 22:15,272,9/12/13 14:45,356,9/12/13 22:00,25,9/13/13 15:30,4,8/10/13 22:15,10
9/12/13 22:30,280,9/12/13 15:00,412,9/12/13 22:15,49,9/13/13 16:30,3,8/10/13 22:30,14
9/12/13 22:45,226,9/12/13 15:15,621,9/12/13 22:30,33,9/13/13 17:00,2,8/10/13 22:45,17
9/12/13 23:00,215,9/12/13 15:30,465,9/12/13 22:45,57,9/13/13 17:15,2,8/10/13 23:00,5
9/12/13 23:15,248,9/12/13 15:45,422,9/12/13 23:00,22,9/13/13 17:30,1,8/10/13 23:15,6
9/12/13 23:30,218,9/12/13 16:00,414,9/12/13 23:15,41,9/13/13 17:45,3,8/10/13 23:30,4
9/12/13 23:45,179,9/12/13 16:15,414,9/12/13 23:30,31,9/13/13 18:15,3,8/10/13 23:45,1
