"timeslice","mycount"
"2013-08-10 06:00:00",3
"2013-08-10 06:15:00",8
"2013-08-10 06:30:00",6
"2013-08-10 06:45:00",1
"2013-08-10 07:00:00",3
"2013-08-10 07:15:00",2
"2013-08-10 08:15:00",1
"2013-08-10 08:30:00",2
"2013-08-10 08:45:00",1
"2013-08-10 09:00:00",1
"2013-08-10 09:45:00",2
"2013-08-10 10:45:00",1
"2013-08-10 12:00:00",2
"2013-08-10 12:45:00",2
"2013-08-10 13:15:00",5
"2013-08-10 13:30:00",1
"2013-08-10 13:45:00",8
"2013-08-10 14:00:00",3
"2013-08-10 14:15:00",3
"2013-08-10 14:30:00",2
"2013-08-10 14:45:00",3
"2013-08-10 15:00:00",5
"2013-08-10 15:30:00",3
"2013-08-10 15:45:00",14
"2013-08-10 16:00:00",11
"2013-08-10 16:15:00",19
"2013-08-10 16:30:00",76
"2013-08-10 16:45:00",30
"2013-08-10 17:00:00",7
"2013-08-10 17:15:00",4
"2013-08-10 17:30:00",5
"2013-08-10 17:45:00",3
"2013-08-10 18:00:00",9
"2013-08-10 18:15:00",7
"2013-08-10 18:30:00",18
"2013-08-10 18:45:00",7
"2013-08-10 19:00:00",12
"2013-08-10 19:15:00",5
"2013-08-10 19:30:00",10
"2013-08-10 19:45:00",2
"2013-08-10 20:00:00",15
"2013-08-10 20:15:00",5
"2013-08-10 20:30:00",11
"2013-08-10 20:45:00",3
"2013-08-10 21:00:00",2
"2013-08-10 21:15:00",2
"2013-08-10 21:45:00",4
"2013-08-10 22:00:00",1
"2013-08-10 22:15:00",10
"2013-08-10 22:30:00",14
"2013-08-10 22:45:00",17
"2013-08-10 23:00:00",5
"2013-08-10 23:15:00",6
"2013-08-10 23:30:00",4
"2013-08-10 23:45:00",1
"2013-08-11 00:00:00",3
"2013-08-11 00:15:00",4
"2013-08-11 00:30:00",1
"2013-08-11 00:45:00",1
"2013-08-11 01:15:00",1
"2013-08-11 01:30:00",5
"2013-08-11 01:45:00",4
"2013-08-11 02:00:00",1
"2013-08-11 02:15:00",5
"2013-08-11 02:30:00",40
"2013-08-11 02:45:00",6
"2013-08-11 03:00:00",5
"2013-08-11 03:15:00",2
"2013-08-11 03:30:00",5
"2013-08-11 03:45:00",2
"2013-08-11 04:00:00",4
"2013-08-11 04:30:00",3
"2013-08-11 05:15:00",1
"2013-08-11 06:00:00",1
"2013-08-11 06:30:00",1
